EventId,EventTemplate,Occurrences
1cccef46,at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:*),815
0e386bca,at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:*),881
85abaf31,Error in,133
0eae0368,"Execution Error, return code * from",285
bf67104f,to a,102
f234f49b,: there is no,43
52acfb8e,at org.apache.hadoop.hive.ql.exec.TaskRunner.runSequential(TaskRunner.java:*),40
608fe2d3,Connecting to ResourceManager at,236
0a5c857e,at org.apache.hadoop.streaming.PipeMapRed.waitOutputThreads(PipeMapRed.java:*),93
a8d9711e,at org.apache.hadoop.streaming.PipeMapRed.mapRedFinished(PipeMapRed.java:*),147
37339a67,Unable to,192
193b7962,"File , line *, in",256
58d3d157,at sun.security.jgss.GSSContextImpl.initSecContext(GSSContextImpl.java:*),23
820965ec,ApplicationMaster host: N/A,34
9416a531,does not exist,291
141d3d41,GSS initiate failed,84
e63d4eb4,java.io.IOException: Failed on local exception: Host : local host is: ; destination host is:,154
5289ebb7,org.apache.hadoop.ipc.Server: IPC Server on,64
a5bca3d4,at org.apache.hadoop.net.NetUtils.wrapException(NetUtils.java:*),73
5e340935,at org.apache.hadoop.ipc.Client.call(Client.java:*),317
34fed525,at org.apache.hadoop.io.retry.RetryInvocationHandler.invokeMethod(RetryInvocationHandler.java:*),108
88b91c80,* more,35
267f62fc,at java.util.concurrent.FutureTask.run(FutureTask.java:*),238
56fe498c,at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:*),454
e395098e,"Task Id : attempt**m**, Status : FAILED",417
16449371,at org.apache.hadoop.mapred.MapTask.runOldMapper(MapTask.java:*),215
b19c96c9,at org.apache.hadoop.mapred.MapTask.run(MapTask.java:*),504
24be6453,at javax.security.auth.Subject.doAs(Subject.java:*),921
e0ab3fd6,at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:*),916
3b250a83,at org.apache.hadoop.mapred.Child.main(Child.java:*),220
6d43294c,at org.apache.hadoop.mapred.JobClient.runJob(JobClient.java:*),57
31b25898,ParseException line *:* cannot recognize input near in,161
bbe9fb3b,"Failing Oozie Launcher, Main class ,",67
9bae4189,not in the,70
1594eaee,at org.apache.hadoop.mapred.JobClient.submitJobInternal(JobClient.java:*),98
66cca4ca,at org.apache.hadoop.mapred.JobClient.submitJob(JobClient.java:*),109
393568b1,at org.apache.hadoop.fs.RawLocalFileSystem.mkdirs(RawLocalFileSystem.java:*),69
c0eee01c,at java.io.ObjectInputStream.readObject*(ObjectInputStream.java:*),89
b2fc0d96,at org.apache.hadoop.mapred.MapRunner.run(MapRunner.java:*),149
c5bb9cdd,Oozie Launcher,25
be0c9900,java.lang.ClassCastException: cannot be cast to,200
6ce814ad,at org.apache.hadoop.mapreduce.task.TaskInputOutputContextImpl.write(TaskInputOutputContextImpl.java:*),47
40fd6683,Final Memory: *M/*M,128
797958cb,at org.apache.hadoop.mapred.ReduceTask.runNewReducer(ReduceTask.java:*),93
cac3af82,at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:*),136
33cff0a9,log*j: No appenders could be found for logger,89
1ee4b691,at java.lang.ClassLoader.defineClass(ClassLoader.java:*),129
cf3025d7,impl.YarnClientImpl: Submitted application application**,126
22540e32,"*,",20
0a9c0d0e,line *: syntax unexpected,62
63eedd23,file is,33
87949148,at org.apache.hadoop.hive.ql.Driver.execute(Driver.java:*),34
42d1fa40,* *,1775
629b26e3,IPC Client (*) connection to from,47
b5d3dda8,does not,86
30411b7a,of the,40
445ca053,sqoop.Sqoop: Running Sqoop version:,65
64b9fba6,occurred during processing of,39
31feb5ef,is be in a,46
a5bdb502,at org.apache.hadoop.ipc.Client.getConnection(Client.java:*),73
eeba5052,socket connection *.*:*,62
9a5908a7,at java.io.DataInputStream.read(DataInputStream.java:*),25
250e9cd9,at Source),495
c3e2b43e,has the,45
c480d3e6,does not exist:,233
b41adcff,at org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager.getFileStatus(ClientDistributedCacheManager.java:*),44
90e99f99,native library,85
847a6705,at org.apache.spark.rdd.RDD.computeOrReadCheckpoint(RDD.scala:*),95
3cecc585,at py*j.reflection.MethodInvoker.invoke(MethodInvoker.java:*),26
4440f4f9,unrecognized service,33
95a48edf,No such file or directory,635
7cd0f027,at org.apache.hadoop.io.IOUtils.cleanup(IOUtils.java:*),33
78c97dd4,at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:*),300
f9bf53a0,at org.apache.sqoop.mapreduce.ImportJobBase.runImport(ImportJobBase.java:*),31
445fcbb4,"*, *",215
f78410e6,at org.apache.sqoop.tool.ImportTool.importTable(ImportTool.java:*),73
f7bb2d08,(Mechanism level: find,36
37df8ad3,at org.apache.sqoop.Sqoop.run(Sqoop.java:*),89
bab7b561,at org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:*),361
820be065,at org.apache.sqoop.Sqoop.runSqoop(Sqoop.java:*),115
2b6dad3c,at org.apache.sqoop.Sqoop.runTool(Sqoop.java:*),141
e39c52cf,at org.apache.sqoop.Sqoop.main(Sqoop.java:*),70
bde94e6c,at org.apache.hadoop.mapreduce.Mapper.run(Mapper.java:*),173
7fa6d805,at org.apache.hadoop.mapred.MapTask.runNewMapper(MapTask.java:*),285
82abe3a7,at scala.concurrent.forkjoin.ForkJoinPool.runWorker(ForkJoinPool.java:*),17
0f394b2d,at org.apache.hadoop.hive.cli.CliDriver.run(CliDriver.java:*),86
f94896bb,at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:*),167
65a3840d,at org.apache.hadoop.util.RunJar.run(RunJar.java:*),161
50744b96,at org.apache.hadoop.mapreduce.lib.input.FileInputFormat.getSplits(FileInputFormat.java:*),40
ea80bf46,at org.apache.hadoop.mapreduce.JobSubmitter.writeNewSplits(JobSubmitter.java:*),32
395e886b,at org.apache.hadoop.mapreduce.JobSubmitter.submitJobInternal(JobSubmitter.java:*),110
aa4e0d1d,at org.apache.hadoop.mapreduce.Job.submit(Job.java:*),174
a2c47b5b,java.lang.IllegalArgumentException: Wrong FS: expected: file:///,51
c73a78d5,at org.apache.hadoop.fs.FileSystem.checkPath(FileSystem.java:*),37
15a2dafd,at org.apache.hadoop.fs.FileSystem.exists(FileSystem.java:*),60
874f238a,Failed with exception,55
d2874bc1,at org.apache.hadoop.ipc.Client.wrapException(Client.java:*),30
41d4022e,* G,23
6d0fd2b3,streaming.StreamJobPatch: Arg:,16
dec51b3a,Master: Removing because it is,21
581164b6,at org.apache.sqoop.mapreduce.ImportJobBase.doSubmitJob(ImportJobBase.java:*),26
8723a35e,failed to,81
18091193,at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:*),106
01fc42ab,I* *,36
e69951b2,command not found,281
25ffdde9,at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:*),30
dfac8ab9,at org.apache.spark.scheduler.ResultTask.runTask(ResultTask.scala:*),74
84992768,at org.apache.hadoop.fs.RawLocalFileSystem.getFileStatus(RawLocalFileSystem.java:*),51
48d026a7,failed with,189
d3050393,exited with exit code,120
996413fb,Last * bytes of :,44
3c10f7d7,Failing the application.,84
bf979016,mapreduce.Job: map * reduce *,341
9a16d811,"is deprecated. Instead, use",331
b9fb29bb,No for,97
5ccbec9c,Failed to,441
4794a308,on the is,84
8c81d19f,is *,73
c20acca6,SLF*J: Actual binding is of type,99
fcb36ee8,* (*,154
ea2188c2,manager.SqlManager: Executing SQL statement: SELECT t.* FROM AS t LIMIT *,73
92889a4c,java.net.SocketTimeoutException: Read timed out,45
bce21a15,hadoop fs,41
aceb578d,at org.apache.hadoop.fs.FileUtil.copy(FileUtil.java:*),58
e49f87ba,java.net.ConnectException: Connection refused,125
439b8a6f,at org.apache.hadoop.hdfs.server.namenode.NameNode.addBlock(NameNode.java:*),41
33b43dd5,*: Unhandled internal error.,57
5fcc7949,Details at logfile: *,84
f632fd0f,at org.apache.hadoop.streaming.PipeMapRunner.run(PipeMapRunner.java:*),63
9953f2a8,at org.apache.thrift.transport.TSaslTransport.open(TSaslTransport.java:*),31
299341b3,at scala.Option.foreach(Option.scala:*),41
e6ebb3e8,SemanticException : Line *:*,76
e7816a4d,at org.apache.hadoop.fs.FilterFileSystem.mkdirs(FilterFileSystem.java:*),33
a21572aa,Failed to execute goal on project,113
66eb9f22,error: cannot find symbol,186
f77002d2,location: class,87
2823f407,cannot Permission denied,140
7a58d4a6,Could not,242
d66cd8e6,security.UserGroupInformation: PriviledgedActionException,31
194a7b0e,java.net.BindException: in,51
2e0f7ea0,at org.apache.hadoop.service.AbstractService.init(AbstractService.java:*),100
7d6196e1,at org.apache.hadoop.service.CompositeService.serviceInit(CompositeService.java:*),47
24f7abf2,java.io.FileNotFoundException: File,29
4d4ee9f1,metrics system,35
4e0a6252,Error starting,53
c9a57b89,Including in the shaded jar.,127
a7b5717a,line *,82
5982676d,at org.codehaus.janino.UnitCompiler.compile(UnitCompiler.java:*),16
8c6898b5,at org.apache.hadoop.hive.ql.exec.Operator.initializeChildren(Operator.java:*),27
162e2d6e,have the,62
9c9f2831,at org.apache.hadoop.hive.ql.exec.Operator.close(Operator.java:*),25
a7d684e3,you are,24
5690649f,at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolTranslatorPB.getFileInfo(ClientNamenodeProtocolTranslatorPB.java:*),31
991ab26a,version * */*/*,35
9a11a771,at at,208
b5909489,java.lang.ClassLoader.loadClass(ClassLoader.java:*) at,43
f99e5a5e,: of *,75
5fe44606,for more information.,35
d53f33eb,not a,86
c872c5ce,Application report for application** (state: ACCEPTED),159
d3b15f57,signal for,29
7f4c942b,spark.SecurityManager: Changing acls to:,58
e17d06d5,with with,38
dbbff05e,org.apache.hadoop.hdfs.server.datanode.DataNode: Problem connecting to,41
e54614c5,User class threw exception:,42
7cfcbd91,at org.apache.spark.deploy.yarn.ExecutorLauncher.main(ApplicationMaster.scala),18
16de7f4e,Deleting directory,32
2f319696,Shutdown hook called,40
db7aca70,: *,144
14c275f7,java.lang.OutOfMemory Java heap space,90
6925438f,org.apache.hadoop.util.ToolRunner.run(ToolRunner.java:*) at,33
1c685747,javax.security.auth.Subject.doAs(Subject.java:*) at,53
c618332d,Starting secondary namenodes,108
a526cde2,at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:*),19
0f127ec7,Logging initialized using configuration in,51
b27d2be7,at org.apache.hadoop.mapreduce.lib.input.FileInputFormat.listStatus(FileInputFormat.java:*),30
6fa9e6b3,at py*j.commands.CallCommand.execute(CallCommand.java:*),32
b7cb7a5c,at org.apache.sqoop.mapreduce.ImportJobBase.runJob(ImportJobBase.java:*),34
a6b65b17,at org.apache.hadoop.conf.Configuration.getClass(Configuration.java:*),145
860605bd,at org.apache.hadoop.conf.Configuration.getClassByName(Configuration.java:*),79
7a5bc183,at java.lang.ProcessBuilder.start(ProcessBuilder.java:*),18
8381bc6b,at org.sonatype.aether.impl.internal.DefaultRepositorySystem.resolveDependencies(DefaultRepositorySystem.java:*),18
5d280705,at org.apache.hadoop.hive.cli.CliDriver.executeDriver(CliDriver.java:*),47
0d6e1b12,*: Unable to,91
d0af5bf1,Container killed by the ApplicationMaster.,54
06651c3b,JobId Alias Feature Message Outputs,26
1cb213f7,java.io.IOException: Job failed!,21
fc9b781f,records *,27
1fa3ceb1,mapreduce.Job: Job job** running in uber mode : false,120
cb5e100e,error,27
e23b7d7c,at org.apache.hadoop.fs.FileSystem.create(FileSystem.java:*),71
c22970b8,org.apache.pig.backend.executionengine.ExecException: *:,25
b5d221cb,This script is,33
c3012cc8,lz*: true revision:*,23
cd9b7426,unable to,38
1fde7c52,at java.io.BufferedInputStream.fill(BufferedInputStream.java:*),24
2c47158d,at py*j.GatewayConnection.run(GatewayConnection.java:*),28
d888e992,at org.apache.sqoop.mapreduce.AutoProgressMapper.run(AutoProgressMapper.java:*),39
da209a6c,RECEIVED SIGNAL *: SIGTERM,39
e09c2dc2,at org.apache.hadoop.hive.cli.CliDriver.processLocalCmd(CliDriver.java:*),51
1d5c7b0a,at org.apache.hadoop.hive.cli.CliDriver.processLine(CliDriver.java:*),91
e308b5fb,with has is for,31
a80e7413,help for,31
bbbac974,Apache .. SUCCESS,165
64a4c0f6,mapred.LocalJobRunner: task executor complete.,24
98c1c16f,. SKIPPED,225
1e42e38a,.. SKIPPED,124
75c92b19,at org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer.analyze(BaseSemanticAnalyzer.java:*),19
10e22001,BUILD FAILURE,69
c0c68108,Total input paths to process : *,211
a1d1a069,Finished at: ***T:*,48
b8f20fc7,at org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:*),79
8166fd0d,at org.apache.hadoop.fs.RawLocalFileSystem.getFileStatus(RawLocalFileSys,16
579cc00a,Status Code: AWS Amazon AWS Request ID: AWS Error Code: AWS Error Request ID:,46
6b77f0ce,"* *,* *,*",35
f1024e2a,at io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:*),45
69185d24,at *:*,22
34d1c1c8,at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:*),37
33c38b2b,manager.MySQLManager: Preparing to use a MySQL streaming resultset.,46
a84d56ee,tool.CodeGenTool: Beginning code generation,37
cda8b84b,orm.CompilationManager: is,28
4a986b4a,Note: * or a deprecated API.,44
a25a0e14,with for details.,56
fba53bd0,Encountered IOException running import job:,49
1296b7c6,Hive Runtime Error while,30
774db547,java.lang.ClassNotFoundException: Class not found,159
0c008cc3,mapreduce.JobSubmitter: number of splits:*,81
491d13c0,mapreduce.JobSubmitter: Submitting tokens for job: job**,74
cabb1d0a,Hadoop commandline option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.,67
cbd4404e,at org.apache.hadoop.util.Shell.runCommand(Shell.java:*),44
e4614cf7,at org.apache.hadoop.util.Shell.execCommand(Shell.java:*),49
4011fb44,at org.apache.hadoop.fs.RawLocalFileSystem.setPermission(RawLocalFileSystem.java:*),48
665da660,Output directory,44
f4b14aff,start time: *,40
7c41c38b,Time taken: * seconds,41
7dd4932e,is is,48
1c60433b,Starting namenodes on,122
dcf8e3aa,running as process *. Stop it first.,74
9f9ff08b,* *:,92
a6497ba5,starting logging to,352
7627e13d,Operation not permitted,35
047533cd,db*a: full log in *.*binhadoop**.spark.deploy.worker.Worker*db*a.out,38
9e6cc88a,at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:*),22
4ec503be,dfs,28
2904e006,has been,39
93be23e6,at org.apache.spark.deploy.yarn.Client.main(Client.scala),35
bf466d9a,Import No module named,40
30bfe338,MapReduce Jobs Launched:,25
041d4466,Instead use the hdfs command for it.,36
ae8cc2b9,* ResourceManager,26
ecae0e7e,symbol: class,94
32dc2140,at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:*),41
b929f3e2,at java.security.SecureClassLoader.defineClass(SecureClassLoader.java:*),70
567f5f90,at org.apache.spark.scheduler.Task.run(Task.scala:*),142
0a604afc,at scala.collection.mutable.ArrayBuffer.foreach(ArrayBuffer.scala:*),39
46128e05,final status:,33
add0ab52,at org.apache.hadoop.yarn.server.nodemanager.containermanager.launcher.ContainerLaunch.call(ContainerLaunch.java:*),50
f90d740e,Trying to,46
318d70a1,at org.apache.hadoop.fs.FilterFileSystem.getFileStatus(FilterFileSystem.java:*),29
ccd279b1,java.io.IOException: Task process exit with nonzero status of *.,74
e00eaf91,at org.apache.pig.PigServer.openIterator(PigServer.java:*),31
5b9d1112,at org.apache.hadoop.hdfs.server.datanode.DataNode.makeInstance(DataNode.java:*),32
cf8c5cfb,at org.apache.hadoop.hdfs.server.datanode.DataNode.instantiateDataNode(DataNode.java:*),40
5fd44266,at org.apache.hadoop.hdfs.server.datanode.DataNode.createDataNode(DataNode.java:*),30
adf90060,at org.apache.hadoop.hdfs.server.datanode.DataNode.main(DataNode.java:*),35
b11eb870,at org.apache.hadoop.yarn.server.nodemanager.NodeManager.serviceInit(NodeManager.java:*),33
dd461a19,starting yarn daemons,61
00520152,at org.apache.spark.scheduler.DAGSchedulerEventProcessLoop.onReceive(DAGScheduler.scala:*),44
4533c23c,at org.apache.hadoop.service.AbstractService.stop(AbstractService.java:*),24
0bb58a13,at org.apache.hadoop.service.ServiceOperations.stop(ServiceOperations.java:*),27
8eded298,at org.apache.hadoop.service.ServiceOperations.stopQuietly(ServiceOperations.java:*),27
a8ff5487,at org.apache.hadoop.service.CompositeService.stop(CompositeService.java:*),19
dd970b38,at org.apache.hadoop.service.CompositeService.serviceStop(CompositeService.java:*),20
5d017207,at org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor.launchContainer(DefaultContainerExecutor.java:*),26
2c1ad2b8,at sun.nio.ch.ServerSocketAdaptor.bind(ServerSocketAdaptor.java:*),23
f9ceda0a,java.io.IOException: class: class not class,57
93cb71fc,at scala.Option.getOrElse(Option.scala:*),113
b959a6db,java.io.IOException: No on,27
98a1443e,DFS Used%: *%,49
8808a470,with *,96
446d3349,Name: *,28
60f78f6b,SLF*J: Class path contains multiple SLF*J bindings.,65
b96223e7,SLF*J: Found binding in,142
40fcd5b1,at org.apache.hadoop.hive.ql.parse.SemanticAnalyzer.analyzeInternal(SemanticAnalyzer.java:*),20
c7b36f48,SIMPLE authentication is not enabled. Available:,42
16c0991f,org.apache.pig.Main Logging error messages to:,39
c1891721,at org.apache.hadoop.ipc.RemoteException.unwrapRemoteException(RemoteException.java:*),26
f0af05de,at io.netty.channel.AbstractChannelHandlerContext.invokeFlush*(AbstractChannelHandlerContext.java:*),27
6a9058ce,at org.apache.hadoop.hive.ql.exec.Task.executeTask(Task.java:*),54
f5179fe9,at org.apache.hadoop.hive.ql.Driver.run(Driver.java:*),97
341bb153,Call From to failed on connection exception: java.net.ConnectException: Connection For more details see:,257
c22ee445,ING: Use to,36
4a79e4d5,at org.apache.hadoop.hive.ql.parse.HiveParser.createTableStatement(HiveParser.java:*),20
cd82b12b,at org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceLauncher.launchPig(MapReduceLauncher.java:*),29
4b93b48b,at org.apache.hadoop.io.compress.DecompressorStream.read(DecompressorStream.java:*),28
b6304451,at org.apache.spark.scheduler.ShuffleMapTask.runTask(ShuffleMapTask.scala:*),56
bec05f1d,at org.apache.pig.tools.grunt.GruntParser.parseStopOnError(GruntParser.java:*),92
5da1cde2,at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:*),65
bbfcbc3a,at org.apache.hadoop.net.SocketIOWithTimeout.connect(SocketIOWithTimeout.java:*),55
2aec608c,at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:*),93
f521a966,at org.apache.hadoop.hive.ql.Driver.compile(Driver.java:*),117
e020ca73,tool.BaseSqoopTool: Unrecognized argument:,61
47db26c1,Some problems were encountered while building the effective model for,45
ca7772bd,The is,43
f05f901e,Error from attempt**m**:,58
e4993791,at org.apache.hadoop.hive.ql.session.SessionState.createRootHDFSDir(SessionState.java:*),17
c0472f5b,at org.apache.hadoop.hive.ql.session.SessionState.createSessionDirs(SessionState.java:*),18
848ae260,at org.apache.hadoop.hive.ql.session.SessionState.start(SessionState.java:*),48
d3ae55ab,at java.util.concurrent.FutureTask.get(FutureTask.java:*),31
62d8ff8b,at org.apache.thrift.ProcessFunction.process(ProcessFunction.java:*),28
a19350c3,***T session.SessionState:,23
0c2c23bb,: Attempting to on hdfs as root,42
dda965dd,zlib.ZlibFactory: Successfully loaded & initialized nativezlib library,24
a8954485,Got brandnew,28
8b3306d7,at org.apache.hadoop.fs.FileSystem.loadFileSystems(FileSystem.java:*),23
6cb864bf,at org.apache.hadoop.fs.FileSystem.getFileSystemClass(FileSystem.java:*),64
cff58194,java.lang.IllegalArgumentException: not a valid,42
4d5aca61,at org.apache.hadoop.net.NetUtils.createSocketAddr(NetUtils.java:*),27
aba8d49b,at org.apache.hadoop.hdfs.server.namenode.NameNode.getAddress(NameNode.java:*),27
294e1e9d,at org.apache.hadoop.util.ProgramDriver.run(ProgramDriver.java:*),27
c015ef9e,at org.apache.hadoop.fs.FSDataOutputStream.close(FSDataOutputStream.java:*),28
4875ec95,at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:*),25
610f690c,at org.junit.runners.BlockJUnit*ClassRunner.runChild(BlockJUnit*ClassRunner.java:*),28
7ce8087e,at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:*),19
7eaea1b6,at java.io.ObjectInputStream.readSerialData(ObjectInputStream.java:*),67
d953092a,at org.apache.hadoop.mapred.FileInputFormat.listStatus(FileInputFormat.java:*),47
d1dbe0f9,at org.apache.hadoop.mapred.FileInputFormat.getSplits(FileInputFormat.java:*),40
9b74b935,at org.apache.hadoop.mapred.JobClient.writeOldSplits(JobClient.java:*),22
4b11d715,#* at,30
6af3720c,Submitting application to ResourceManager,24
574f6b85,Apache Hadoop SKIPPED,479
7c8db43d,Total time:,101
47a4dfe5,starting at,38
e9a24093,at org.apache.hadoop.util.ReflectionUtils.setJobConf(ReflectionUtils.java:*),89
9e3703a9,at org.apache.hadoop.mapred.MapRunner.configure(MapRunner.java:*),27
fcb1c940,ApplicationMaster RPC port: *,34
43ba8066,at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getBlockLocations(FSNamesystem.java:*),28
9c17bb40,at org.apache.hadoop.hdfs.server.namenode.NameNode.format(NameNode.java:*),36
2a7c5c0d,at org.apache.hadoop.hive.ql.exec.DDLTask.createTable(DDLTask.java:*),20
16884650,at org.apache.hadoop.hive.ql.exec.DDLTask.execute(DDLTask.java:*),24
2f408851,at javax.servlet.http.HttpServlet.service(HttpServlet.java:*),63
d66d276c,Unexpected exception,29
9d36b395,at java.io.DataInputStream.readFully(DataInputStream.java:*),16
ace72540,Shutting down at,65
0bb855a4,* to,29
1a4d59e8,at org.apache.hive.hcatalog.mapreduce.HCatInputFormat.setInput(HCatInputFormat.java:*),26
68dc31eb,at org.apache.ambari.server.controller.AmbariHandlerList.processHandlers(AmbariHandlerList.java:*),16
ca98c97a,threw exception,32
eb3bb8a9,debug*: sent,25
641fb15c,symbol: variable,27
6f940628,* at,78
37682221,orm.ClassWriter: Overriding type of column to string,84
d687e638,"* *,",23
8bae17f4,Error while statement:,75
e1726922,Illegal character in at index *:,32
66bac233,to *,66
2c538a54,of *,63
caf3546e,* in,27
08ec7a6c,java.io.IOException: Type mismatch in from map: expected,119
037d9301,at java.lang.Thread.join(Thread.java:*),36
d828790a,for *,83
25b4f6d3,at org.apache.hadoop.fs.LocalDirAllocator.getLocalPathForWrite(LocalDirAllocator.java:*),51
7823c48c,from to,46
df69a1c8,at org.apache.hadoop.service.AbstractService.start(AbstractService.java:*),53
6da2752b,at org.apache.pig.tools.grunt.Grunt.exec(Grunt.java:*),42
6f1a23f7,org.apache.hadoop.mapred.TaskTracker: LaunchTaskAction (registerTask): task's state:UNASSIGNED,25
ee298725,org.apache.hadoop.mapred.JvmManager: JVM jvm**m*,46
95509758,at org.apache.hadoop.io.IOUtils.copyBytes(IOUtils.java:*),36
53832da3,at org.apache.hadoop.fs.FileSystem.copyFromLocalFile(FileSystem.java:*),32
2e21b3ee,at org.apache.hadoop.fs.FsShell.run(FsShell.java:*),33
2761b94b,at org.apache.hadoop.fs.FsShell.main(FsShell.java:*),22
d529e941,not,25
527b6cb2,a the,26
e1d6bd37,at org.apache.hadoop.fs.FileUtil.checkReturnValue(FileUtil.java:*),31
d98a07f8,from,29
e4e5d8c9,at org.mortbay.jetty.Server.handle(Server.java:*),31
7971d6bb,at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:*),25
4758a43f,at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:*),27
1f6d9763,at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:*),21
4fde525c,java.lang.Throwable: Child Error,31
5418ec21,at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:*),22
9afa23c1,Starting datanodes,37
b11894a5,at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:*),23
c465baba,CREATE TABLE,23
ca1e1bf6,java.lang.ArrayIndexOutOfBoundsException: *,43
bb479fba,at org.apache.pig.PigServer.execute(PigServer.java:*),24
d4934ead,at org.apache.spark.SparkContext.runJob(SparkContext.scala:*),63
2e4e2c40,at java.io.ObjectOutputStream.writeObject*(ObjectOutputStream.java:*),24
a7d58850,Retrying connect to server: Already tried * time(s).,153
143fdf18,org.apache.hadoop.mapred.TaskAttemptListenerImpl: Ping from attempt**m**,31
b76f1f45,java.io.IOException: failed,22
73c08882,PriviledgedActionException (auth:SIMPLE),26
b3cb0f2c,client token: N/A,56
62365dbe,queue: default,25
e2092a51,tracking URL:,29
8371783c,at org.apache.spark.deploy.SparkSubmit.main(SparkSubmit.scala),77
fd0766dc,at org.apache.hadoop.hive.ql.exec.Operator.forward(Operator.java:*),31
dcd9ae6a,at org.apache.sqoop.manager.GenericJdbcManager.getConnection(GenericJdbcManager.java:*),29
432db841,at org.apache.maven.lifecycle.internal.MojoExecutor.execute (MojoExecutor.java:*),52
f47b535c,at WordCount.main(WordCount.java:*),28
04e19e79,: Coyote HTTP* on http*,23
693f07c2,could not be,79
b626e567,at java.lang.NumberFormatException.forInputString(NumberFormatException.java:*),55
1cc2800a,or not,46
77270e33,at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:*),85
